timestamp(ms),accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1447578,-1.002840,-0.032208,0.059048,0.280000,-1.260000,0.560000
1447687,-1.003816,-0.031720,0.054656,0.210000,-1.120000,0.560000
1447796,-1.005280,-0.033184,0.055144,0.280000,-1.260000,0.630000
1447905,-1.003816,-0.033184,0.054168,0.280000,-1.120000,0.560000
1448014,-1.001864,-0.031720,0.058072,0.350000,-1.190000,0.490000
1448123,-1.004304,-0.028792,0.056120,0.210000,-0.980000,0.490000
1448232,-1.001864,-0.031720,0.055632,0.350000,-1.050000,0.420000
1448341,-1.003816,-0.031232,0.057096,0.210000,-1.260000,0.490000
1448450,-1.001864,-0.031720,0.055144,0.280000,-1.330000,0.490000
1448559,-1.003328,-0.031720,0.058072,0.280000,-1.190000,0.630000
1448668,-1.004304,-0.030744,0.055144,0.280000,-1.050000,0.560000
1448777,-1.004304,-0.032208,0.056120,0.210000,-1.190000,0.490000
1448886,-1.003328,-0.030744,0.055144,0.350000,-1.190000,0.490000
1448995,-1.004304,-0.032696,0.055144,0.280000,-1.120000,0.490000
1449104,-1.003816,-0.031232,0.056120,0.210000,-1.050000,0.560000
1449213,-1.003328,-0.032208,0.056120,0.210000,-1.120000,0.490000
1449322,-1.002840,-0.031720,0.057096,0.280000,-1.260000,0.630000
1449431,-1.004304,-0.032208,0.057096,0.280000,-1.330000,0.560000
1449540,-1.003816,-0.031232,0.057096,0.210000,-1.260000,0.560000
1449649,-1.005768,-0.031720,0.055632,0.280000,-1.190000,0.490000
1449758,-1.004792,-0.031720,0.055632,0.280000,-1.190000,0.490000
1449867,-1.005768,-0.031720,0.055632,0.280000,-1.190000,0.490000
1449976,-1.004304,-0.031232,0.055632,0.350000,-1.260000,0.490000
1450085,-1.004304,-0.032696,0.055144,0.280000,-1.260000,0.490000
1450194,-1.003816,-0.029280,0.053192,0.280000,-1.120000,0.560000
1450303,-1.005280,-0.030744,0.057584,0.280000,-1.260000,0.560000
1450412,-1.005768,-0.033184,0.056120,0.210000,-1.190000,0.490000
1450521,-1.005768,-0.031232,0.056120,0.280000,-1.260000,0.490000
1450630,-1.030656,-0.027816,0.042944,0.910000,-3.080000,-1.470000
1450739,-1.010648,-0.023424,0.056608,0.700000,-2.590000,-2.240000
1450849,-1.006256,-0.031720,0.052704,0.140000,-3.920000,3.920000
1450958,-0.986248,-0.037088,0.066368,0.630000,-2.450000,-0.560000
1451067,-0.993080,-0.027328,0.064416,0.420000,0.280000,-1.190000
1451176,-1.007232,-0.028304,0.056120,-0.210000,0.140000,1.890000
1451285,-1.011136,-0.033672,0.050752,0.210000,-0.910000,1.120000
1451394,-1.011624,-0.033184,0.050264,0.490000,-2.030000,0.000000
1451503,-1.000888,-0.030256,0.058072,0.420000,-1.890000,-0.070000
1451613,-0.993568,-0.027816,0.060512,0.210000,-0.980000,0.560000
1451722,-1.003816,-0.032208,0.058072,0.140000,-0.560000,0.980000
1451831,-1.007232,-0.031232,0.054168,0.210000,-0.840000,0.700000
1451940,-1.008208,-0.032696,0.054656,0.350000,-1.820000,0.350000
1452049,-1.002352,-0.031232,0.056120,0.350000,-1.540000,0.280000
1452158,-0.999912,-0.028792,0.057096,0.210000,-0.770000,0.560000
1452267,-1.004304,-0.030744,0.055144,0.140000,-0.630000,0.700000
1452376,-1.009184,-0.031232,0.055144,0.210000,-1.260000,0.630000
1452485,-1.003816,-0.030744,0.054168,0.350000,-1.750000,0.490000
1452594,-1.002352,-0.037576,0.057584,0.420000,-1.260000,0.560000
1452703,-0.991616,0.155672,0.024888,-20.790001,-7.420000,2.870000
1452812,-1.397144,0.066368,0.141032,7.700000,-45.290001,55.439999
1452921,-1.170224,0.207888,0.175680,19.180000,-87.360001,72.029999
1453030,-0.973072,0.294264,0.287920,20.299999,-90.580002,87.849998
1453139,-0.791536,0.377224,0.426024,24.360001,-78.540001,75.040001
1453249,-0.646112,0.518744,0.522160,18.549999,-84.980003,71.050003
1453358,-0.413336,0.594872,0.568032,8.120000,-83.860001,65.449997
1453467,-0.240096,0.610000,0.529480,8.960000,-66.639999,57.119999
1453576,-0.073200,0.656360,0.544608,-3.640000,-46.060001,20.510000
1453685,0.019520,0.728096,0.596336,-10.850000,-26.670000,5.460000
1453794,-0.056120,0.770552,0.704184,-4.130000,-13.020000,27.790001
1453903,-0.010736,0.634400,0.712968,-13.580000,-24.010000,26.320000
1454012,0.047336,0.613904,0.686128,-5.880000,-12.600000,20.370001
1454121,0.102480,0.610488,0.715408,-3.010000,-5.460000,2.100000
1454230,0.076128,0.637816,0.727608,-1.260000,-1.820000,-2.800000
1454339,0.079544,0.689056,0.739320,1.680000,0.490000,-4.270000
1454448,0.041480,0.675880,0.726632,0.280000,1.260000,5.880000
1454557,0.129320,0.589504,0.658312,3.150000,5.880000,-0.070000
1454666,0.067832,0.630008,0.725168,4.060000,5.390000,-8.890000
1454775,0.062464,0.585112,0.606584,7.280000,18.129999,-22.540001
1454884,0.045384,0.502152,0.543144,20.790001,63.980000,-72.029999
1454993,-0.174704,0.673440,0.470920,-0.630000,101.360001,-107.870003
1455102,-0.571936,0.665632,0.480680,-13.860000,124.879997,-89.949997
1455211,-0.986248,0.297680,0.419680,-15.820000,111.790001,-115.570000
1455320,-1.149728,0.200080,0.341600,-26.670000,82.809998,-141.610001
1455429,-1.167296,0.107848,0.229848,-29.959999,47.180000,-60.689999
1455538,-1.169736,-0.099064,0.122488,-15.890000,7.490000,2.940000
1455647,-1.056520,-0.101016,0.102480,4.200000,4.340000,4.620000
1455756,-0.992104,-0.080520,0.108336,1.960000,0.000000,-10.570000
1455865,-1.019920,-0.044408,0.059048,10.780000,4.130000,-10.430000
1455974,-1.038952,-0.014152,0.083448,0.350000,9.520000,3.430000
1456083,-1.019432,-0.039040,0.051728,0.420000,-3.990000,6.510000
1456192,-0.995520,-0.095160,0.079056,16.520000,16.940001,3.150000
1456301,-1.009672,-0.068320,0.047336,5.740000,2.310000,4.830000
1456410,-1.170224,-0.015616,0.070760,-3.010000,-13.790000,-2.240000
1456520,-0.969168,-0.047824,0.028792,0.000000,-0.140000,1.120000
1456629,-0.993568,0.020984,0.045384,-1.400000,7.770000,3.430000
1456738,-0.954040,-0.032696,0.073200,-2.030000,6.300000,-2.380000
1456848,-0.963312,-0.047824,0.081008,-1.190000,3.850000,4.970000
1456957,-0.948184,-0.021472,0.080520,-0.630000,3.500000,0.350000
1457066,-0.978440,-0.037088,0.062464,-0.630000,4.690000,-0.280000
1457175,-1.012600,-0.040016,0.046848,-0.280000,3.500000,1.470000
1457284,-1.038952,-0.035136,0.039040,0.070000,0.630000,1.190000
1457393,-1.027240,-0.033184,0.039040,0.350000,-2.170000,0.630000
1457502,-1.017480,-0.033672,0.048800,0.560000,-3.920000,0.140000
1457611,-0.993080,-0.029768,0.059048,0.490000,-3.220000,0.350000
1457720,-0.986248,-0.032696,0.061000,0.280000,-0.980000,0.840000
1457829,-0.998936,-0.032208,0.058560,0.000000,0.700000,1.050000
1457938,-1.015040,-0.035624,0.048312,0.140000,0.070000,0.840000
1458047,-1.014064,-0.033672,0.049288,0.350000,-2.030000,0.420000
1458156,-1.006744,-0.031232,0.053192,0.350000,-2.590000,0.420000
1458265,-0.995032,-0.032208,0.056608,0.350000,-1.680000,0.490000
1458374,-0.996984,-0.032208,0.054656,0.210000,-0.560000,0.560000
1458484,-1.022360,-0.247904,0.089304,8.750000,-16.170000,27.090000
1458593,-1.266360,0.059048,0.158112,21.139999,-32.689999,59.150002
1458702,-1.235616,0.176168,0.200568,22.610001,-71.120003,79.099998
1458811,-1.014552,0.290848,0.332816,-1.820000,-94.709999,105.629997
1458920,-0.772504,0.419192,0.371368,6.650000,-96.040001,97.160004
1459029,-0.515816,0.476288,0.467016,-0.490000,-89.669998,68.320000
1459139,-0.323056,0.590480,0.498736,0.000000,-77.769997,39.410000
1459248,-0.110288,0.695400,0.523624,-2.100000,-53.340000,37.240002
1459357,-0.122488,0.733464,0.607072,-13.580000,-29.750000,29.889999
1459466,-0.094184,0.661240,0.671976,-12.810000,-20.370001,49.630001
1459575,-0.019032,0.558272,0.685640,-9.800000,-11.550000,13.300000
1459684,0.031232,0.614880,0.734928,-1.050000,-5.110000,0.140000
1459793,-0.036600,0.662704,0.710040,1.330000,0.840000,-4.830000
1459902,0.002928,0.588528,0.699792,2.030000,6.510000,-3.780000
1460011,-0.040016,0.596336,0.585112,12.180000,25.410000,-24.570000
1460120,-0.023424,0.577792,0.529480,16.240000,64.330002,-53.480000
1460229,-0.211792,0.656360,0.491904,9.800000,93.169998,-82.949997
1460338,-0.561688,0.458232,0.463600,-6.090000,113.540001,-99.889999
1460447,-0.942328,0.309392,0.359168,-8.120000,99.540001,-130.410004
1460556,-1.057008,0.231312,0.304512,-16.309999,85.470001,-103.110001
1460665,-1.200968,0.110776,0.202520,-12.810000,46.200001,-33.810001
1460774,-1.140456,-0.021960,0.126392,-16.309999,7.210000,3.920000
1460883,-1.105320,-0.064904,0.038064,-6.090000,1.330000,-0.280000
1460993,-1.022360,-0.040504,0.015128,1.050000,7.490000,-16.660000
1461102,-0.999912,0.024400,0.074176,-4.620000,-3.710000,-8.260000
1461212,-0.961360,-0.017568,0.063440,7.350000,4.900000,-3.430000
1461321,-1.025776,-0.039040,0.039528,1.540000,3.780000,-4.550000
1461430,-1.034072,0.000976,0.041480,-2.380000,-16.520000,3.920000
1461539,-1.038464,-0.065392,0.028792,0.070000,-3.080000,1.330000
1461648,-1.009672,-0.060024,0.037088,-0.140000,8.610000,-2.310000
1461757,-0.997472,-0.015616,0.087352,-2.450000,4.480000,10.570000
1461866,-0.946232,-0.047824,0.095648,1.750000,-2.870000,-6.790000
1461975,-0.959896,-0.037088,0.082960,0.770000,-6.510000,4.480000
1462084,-0.981856,-0.027328,0.066368,1.050000,-6.370000,-1.540000
1462194,-0.964288,-0.021960,0.072712,0.700000,-3.360000,-0.070000
1462304,-0.958920,-0.025864,0.075640,-0.070000,0.700000,2.170000
1462413,-0.981856,-0.031720,0.063440,-0.210000,2.520000,0.070000
1462522,-1.010648,-0.031720,0.052216,-0.280000,2.100000,0.630000
1462631,-1.025776,-0.032696,0.045384,0.070000,-0.420000,0.840000
1462740,-1.024800,-0.033184,0.043920,0.350000,-2.660000,0.700000
1462849,-1.008208,-0.032696,0.051240,0.560000,-3.220000,0.350000
1462958,-0.992104,-0.028792,0.060024,0.420000,-1.890000,0.280000
1463068,-0.991616,-0.032696,0.059536,0.210000,-0.350000,0.420000
1463177,-1.002352,-0.028792,0.055144,0.070000,0.210000,0.560000
1463286,-1.015040,-0.032696,0.051240,0.140000,-0.840000,0.560000
1463395,-1.012112,-0.032208,0.050752,0.350000,-1.750000,0.420000
1463504,-1.002840,-0.033672,0.055632,0.350000,-2.240000,0.420000
1463613,-0.998936,-0.031720,0.060024,0.350000,-1.540000,0.560000
1463723,-0.998936,-0.032696,0.058072,0.210000,-0.560000,0.560000
1463832,-1.008208,-0.030744,0.051240,0.140000,-0.490000,0.630000
1463942,-1.010648,-0.033184,0.050752,0.210000,-1.400000,0.560000
1464051,-1.004792,-0.031232,0.053192,0.350000,-1.680000,0.490000
1464160,-0.944768,-0.034648,0.079544,-0.070000,2.240000,6.090000
1464269,-0.983320,-0.028304,0.101992,-45.500000,10.010000,14.770000
1464378,-1.497672,0.117120,0.205448,10.010000,-54.250000,90.580002
1464487,-1.258064,0.240584,0.267424,-6.580000,-119.629997,93.239998
1464596,-0.903776,0.312808,0.296216,3.430000,-126.279999,89.809998
1464705,-0.568032,0.415776,0.427000,0.840000,-98.769997,78.400002
1464814,-0.279624,0.591456,0.540216,6.090000,-97.370003,68.110001
1464923,-0.009760,0.649040,0.494832,2.100000,-66.150002,70.419998
1465032,0.023424,0.551928,0.637328,-10.150000,-26.040001,38.430000
1465141,0.007320,0.558272,0.733952,-10.010000,-14.700000,15.400000
1465250,0.034648,0.619272,0.725656,1.540000,-15.470000,13.160000
1465359,0.077592,0.596824,0.721264,-5.670000,-5.740000,3.150000
1465468,0.023912,0.609512,0.755424,-3.360000,3.080000,-9.590000
1465577,0.023912,0.560224,0.683688,6.090000,24.920000,-10.010000
1465686,0.005856,0.437736,0.533872,13.230000,52.080002,-56.139999
1465795,-0.216672,0.644160,0.633424,10.570000,89.389999,-78.330002
1465904,-0.307440,0.600728,0.573400,-0.770000,91.279999,-101.500000
1466013,-0.637816,0.436272,0.463600,-20.790001,121.309998,-109.059998
1466122,-0.948184,0.264496,0.370880,-26.600000,111.300003,-99.820000
1466231,-1.223416,0.174216,0.215696,-21.629999,86.660004,-55.509998
1466340,-1.220976,-0.024888,0.148840,-10.850000,35.910000,-35.910000
1466449,-1.152656,-0.060512,0.065880,-12.320000,-2.380000,-43.119999
1466558,-1.063840,-0.065880,0.013176,-2.450000,0.070000,3.780000
1466667,-1.024800,-0.097600,0.051728,-2.100000,-1.960000,20.790001
1466776,-1.001864,-0.111752,0.045872,-3.850000,-4.480000,-3.360000
1466886,-1.014064,-0.023912,0.056120,1.260000,-1.680000,-3.290000
1466995,-1.059936,0.021472,0.044896,3.710000,-1.050000,4.900000
1467104,-1.012600,-0.032696,0.048800,2.940000,0.140000,-1.470000
1467213,-1.006256,-0.028792,0.054168,0.840000,-4.410000,-3.010000
1467322,-0.999424,-0.035624,0.059536,0.280000,-1.470000,1.330000
1467431,-0.998936,-0.032696,0.057584,0.280000,-2.450000,1.610000
1467540,-0.993080,-0.033672,0.057584,0.210000,-0.980000,0.630000
1467649,-0.997960,-0.032696,0.056120,0.140000,-0.140000,0.210000
1467758,-1.008696,-0.032208,0.053192,0.280000,-0.770000,0.350000
1467867,-1.011624,-0.029768,0.051728,0.350000,-1.470000,0.630000
1467976,-1.004304,-0.031232,0.055144,0.350000,-1.890000,0.630000
1468085,-0.998936,-0.031232,0.057096,0.210000,-1.330000,0.630000
1468194,-0.999912,-0.029768,0.057584,0.210000,-0.770000,0.490000
1468303,-1.005768,-0.030744,0.052704,0.210000,-0.840000,0.490000
1468412,-1.007720,-0.033672,0.052704,0.280000,-1.190000,0.630000
1468521,-1.006744,-0.034160,0.053192,0.280000,-1.610000,0.560000
