timestamp(ms),weight_g
326359,352.711151
326460,352.685760
326561,352.673126
326662,352.672852
326763,352.672882
326864,352.686768
326965,352.691956
327066,352.694794
327167,352.694794
327268,352.694092
327369,352.689240
327470,352.676666
327571,352.654724
327672,352.631927
327773,352.597321
327874,352.581512
327975,352.562988
328076,352.542389
328177,352.520569
328278,352.500488
328379,352.487793
328480,352.482605
328581,352.482117
328682,352.476746
328783,352.477600
328884,352.486847
328985,352.498993
329086,352.514709
329187,352.544098
329288,352.581696
329389,352.614227
329490,352.631989
329591,352.644440
329692,352.654816
329793,352.678070
329894,352.709015
329995,352.725769
330096,352.740021
330197,352.743378
330298,352.742371
330399,352.746155
330500,352.760773
330601,352.760773
330702,352.745026
330803,352.710571
330904,352.670654
331005,352.645966
331106,352.642883
331207,352.642883
331308,352.659912
331409,352.732666
331510,352.773437
331611,352.809967
331712,352.834747
331813,352.845734
331914,352.845764
332015,352.852112
332116,352.863159
332217,352.868103
332318,352.938965
332419,352.994141
332520,353.030762
332621,353.045959
332722,353.045898
332823,353.045593
332924,353.038757
333025,353.030762
333126,353.014221
333227,352.958313
333328,352.955200
333429,352.944641
333530,352.952454
333631,352.972290
333732,352.985107
333833,352.985107
333934,352.976624
334035,352.945435
334136,352.904175
334237,352.870392
334338,352.870422
334439,352.896027
334540,352.943939
334641,353.005157
334742,353.067719
334843,353.127045
334944,353.171753
335045,353.191528
335146,353.188629
335247,353.193573
335348,353.200104
335449,353.264832
335550,353.475372
335651,353.857910
335752,354.352356
335853,354.748535
335954,354.989929
336055,355.072906
336156,355.011444
336257,354.735718
336358,353.760437
336459,350.719360
336560,343.318420
336661,329.207397
336762,306.874878
336863,276.446289
336964,198.808411
337065,157.541367
337166,119.578735
337267,87.423431
337368,63.230183
337469,47.947395
337570,40.890633
337671,40.025837
337772,39.148994
337873,44.582886
337974,46.276512
338075,46.499439
338176,46.702789
338277,46.017750
338378,44.902740
338479,44.170303
338580,43.882446
338681,43.809387
338782,44.019112
338883,44.167664
338984,44.197121
339085,44.217468
339186,44.168961
339287,44.072235
339388,44.007038
339489,44.007038
339590,44.010998
339691,44.305080
339792,44.610821
339893,45.011761
339994,45.497536
340095,46.048046
340196,46.631821
340297,47.184086
340398,47.652958
340499,48.044071
340600,48.869568
340701,50.676052
340802,56.451096
340903,70.265106
341004,96.098297
341105,136.149750
341206,189.719864
341307,253.660080
341408,323.451233
341509,460.400696
341610,518.048645
341711,563.697998
341812,595.521545
341913,614.189331
342014,622.398926
342115,623.421143
342216,623.421204
342317,619.538147
342418,611.575623
342519,577.589050
342620,550.428467
342721,517.472656
342822,480.976349
342923,444.571564
343024,411.769470
343125,384.548279
343226,364.348358
343327,351.651917
343428,344.949768
343529,344.266724
343630,346.093933
343731,348.698059
343832,350.150391
343933,350.416138
344034,350.609436
344135,350.156982
344236,349.338745
344337,348.683380
344438,348.623932
344539,348.711945
344640,348.950256
344741,349.136932
344842,349.216461
344943,349.241028
345044,349.237671
345145,349.173462
345246,349.094666
345347,349.094666
345448,349.115570
345549,349.163879
345650,349.211395
345751,349.250000
345852,349.277466
345953,349.296204
346054,349.309296
346155,349.326630
346256,349.333679
346357,349.344360
346458,349.351990
346559,349.361877
346660,349.375946
346761,349.394684
346862,349.416779
346963,349.441681
347064,349.488342
347165,349.497223
347266,349.497192
347367,349.492035
347468,349.473785
347569,349.445770
347670,349.412964
347771,349.378265
347872,349.345062
347973,349.298584
348074,349.294464
348175,349.276733
348276,349.261047
348377,348.995941
348478,347.583984
348579,343.110809
348680,333.020630
348781,315.200500
348882,255.337799
348983,216.528229
349084,175.374207
349185,135.991745
349286,101.189781
349387,73.341232
349488,54.013527
349589,43.287910
349690,39.716328
349791,39.025791
349892,42.795300
349993,45.092037
350094,45.897266
350195,46.029716
350296,45.730293
350397,44.739464
350498,43.855656
350599,43.436256
350700,43.424553
350801,43.669983
350902,44.021603
351003,44.271446
351104,44.405117
351205,44.445065
351306,44.469810
351407,44.456291
351508,44.433929
351609,44.423347
351710,44.400520
351811,44.396576
351912,44.382721
352013,44.366257
352114,44.351318
352215,44.338974
352316,44.331635
352417,44.331635
352518,44.333832
352619,44.373512
352720,44.406906
352821,44.438667
352922,44.467251
353023,44.494331
353124,44.521759
353225,44.549782
353326,44.580956
353427,44.625629
353528,44.828144
353629,45.017845
353730,45.274025
353831,45.590523
353932,45.953873
354033,46.344181
354134,46.735703
354235,47.141083
354336,47.883457
354437,56.427399
354538,69.351608
354639,90.512009
354740,119.437592
354841,153.958328
354942,191.171951
355043,226.754303
355144,258.734985
355245,285.010498
355346,313.706635
355447,316.419037
355548,317.456116
355649,315.820618
355750,311.860962
355851,309.302917
355952,308.670593
356053,308.445526
356154,309.128571
356255,311.831512
356356,312.415466
356457,312.503418
356558,312.626221
356659,312.404480
356760,312.111938
356861,311.996460
356962,311.975220
357063,312.006287
357164,312.354675
357265,312.482361
357366,312.538513
357467,312.579437
357568,312.601288
357669,312.595856
357770,312.595825
357871,312.612823
357972,312.656464
358073,312.720642
358174,312.843933
358275,312.880035
358376,312.904877
358477,312.927612
358578,312.961121
358679,313.003052
358780,313.055542
358881,313.118225
358982,313.188293
359083,313.333313
359184,313.400391
359285,313.458832
359386,313.506439
359487,313.542511
359588,313.569397
359689,313.588837
359790,313.601868
359891,313.609985
359992,313.617798
360093,313.620148
360194,313.623077
360295,313.631531
360396,313.650604
360497,313.683411
360598,313.729889
360699,313.785492
360800,313.842743
360901,313.935394
361002,313.966797
361103,313.983521
361204,313.983521
361305,313.983063
361406,313.966675
361507,313.939636
361608,313.871918
361709,313.458282
361810,306.456238
361911,295.571991
362012,277.419495
362113,251.882080
362214,220.283203
362315,184.844696
362416,148.355103
362517,114.448128
362618,85.327789
362719,48.471588
362820,41.361824
362921,40.006954
363022,39.288589
363123,41.059471
363224,44.051590
363325,45.844330
363426,46.325447
363527,46.546417
363628,45.367813
363729,44.851562
363830,44.728905
363931,44.669426
364032,44.797951
364133,45.069977
364234,45.253975
364335,45.307396
364436,45.322701
364537,45.194115
364638,45.096069
364739,45.032360
364840,45.002502
364941,44.966560
365042,44.947582
365143,44.942768
365244,44.916645
365345,44.848606
365446,44.728256
365547,44.351894
365648,44.123085
365749,43.874340
365850,43.606030
365951,43.317036
366052,43.006264
366153,42.674046
366254,42.323650
366355,41.961746
366456,41.241554
366557,40.905594
366658,40.604893
366759,40.361618
366860,40.189640
366961,40.097427
367062,40.087280
367163,40.087280
367264,40.156265
367365,40.509079
367466,40.782948
367567,41.109943
367668,41.481922
367769,41.884262
367870,42.297707
367971,42.703938
368072,43.091240
368173,43.457172
368274,44.152237
368375,44.500713
368476,44.859417
368577,45.233139
368678,45.626263
368779,46.038582
368880,46.459827
368981,46.912521
369082,47.672813
369183,56.686615
369284,73.670868
369385,107.932053
369486,165.460754
369587,248.441818
369688,353.669922
369789,473.205444
369890,592.760315
369991,696.067322
370092,808.491028
370193,808.491028
370294,802.285889
370395,754.812866
370496,675.298340
370597,578.105835
370698,482.471497
370799,401.990784
370900,341.928558
371001,286.042877
371102,283.076630
371203,281.207336
371304,286.016113
371405,293.333923
371506,297.450195
371607,298.224487
371708,298.729980
371809,297.453491
371910,293.625641
372011,293.175476
372112,293.059174
372213,293.322998
372314,294.021881
372415,294.597015
372516,294.858917
372617,294.880798
372718,294.895691
372819,294.746948
372920,294.528473
373021,294.528473
373122,294.567657
373223,294.672577
373324,294.800873
373425,294.903748
373526,294.972412
373627,295.008209
373728,295.020081
373829,295.032837
373930,295.036255
374031,295.037842
374132,295.042969
374233,295.048279
374334,295.054260
374435,295.061951
374536,295.071777
374637,295.079224
374738,295.097137
374839,295.101440
374940,295.107056
